existing_term,replacement,definition,dependency_class,search_aliases
five axioms,three axioms,"The OPH basis contains exactly three core axioms: A1 observer_screen_architecture, A2 observer_meaning_agreement, A3 conditional_maximum_randomness.",axiom_forced,five-axiom basis; the five axioms; axiom 4; axiom 5
OPH5,three-axiom basis,"Retired shorthand for the five-axiom presentation; every surface states exactly three axioms.",withdrawn,OPH-5; OPH 5; five-axiom OPH
recoverable generalized entropy axiom,gravity interface catalogue,"Collar recoverability, generalized edge entropy, fixed-cap stationarity, quantum focusing, and durable records are classified gravity derivation targets or physical identifications with countermodels; durable records are observer-screen continuation contracts.",conditional_open_interface,recovery axiom; recovery bundle; generalized entropy axiom; former A4
minimal admissible realization,declared completion with open status,"Economy selection is retired as a global axiom; finite order definitions survive only as diagnostics and select no physics.",withdrawn,MAR; minimal realization; admissible minimality
economy rule,declared completion with open status,"Economy-based generation counting, one-Higgs selection, and no-extra-light-sector claims are withdrawn; surviving exact results keep the scope their remaining premises supply.",withdrawn,economy axiom; economy minimum; economy selection
MaxEnt with refinement stability,conditional maximum randomness,"A3 selects the information projection at each finite regulator; optimizer compatibility across refinement (optimizer pushforward) is a separate catalogued theorem interface.",conditional_open_interface,maximum entropy axiom; refinement-stable MaxEnt; MaxEnt axiom
patch,patch,"A finite system with local state, boundary, records, readback, and repair moves.",A1_observer_screen_architecture,observer patch; local patch
observer,observer,"A connected subfederation with complete readback, record, feedback or repair, prediction, and checkpoint interfaces; one carrier is never automatically one observer.",A1_observer_screen_architecture,operational observer; observer node
local carrier,local carrier,"One A1 carrier with the twelve-port oriented boundary packet.",A1_observer_screen_architecture,carrier; twelve-port carrier
federation screen,federation screen,"The overlap nerve of the carrier federation with its seam and triple-overlap algebras.",A1_observer_screen_architecture,nerve; federation nerve; overlap nerve
support screen,support screen,"The oriented spherical support with its refinement tower and geometric realization.",A1_observer_screen_architecture,global support; spherical support; support chart
public record,public record,"Accepted shared data in the typed record domain, the objects A2 quantifies over.",A2_observer_meaning_agreement,accepted record; shared record
meaning,meaning,"The operational interpretation of data: probabilities, update effects, public record values.",A2_observer_meaning_agreement,interpretation; operational meaning
constraint grammar,constraint grammar,"The A1-generated family of observables and constraints through which every A2-visible constraint factors.",A3_conditional_maximum_randomness,observable grammar; constraint family
reference state,reference state,"The exact A3 reference family with its observer cover and weights.",A3_conditional_maximum_randomness,reference family; A3 reference
A5,A5,"The alternating group on five letters, isomorphic to the orientation-preserving incidence automorphism group of the carrier boundary; the symbol names a group, never an axiom.",derived_incidence_consequence,alternating group; icosahedral rotation group; axiom A5
